dtime,timestamp,open,high,low,close,vwap,volume,trades,pair
2024-11-02 00:00:00,1730505600,64170.5,64509.1,64157.3,64278.9,64321.1,5.04449564,990,XXBTZEUR
2024-11-02 04:00:00,1730520000,64278.9,64471.0,64146.9,64466.4,64375.7,32.38899512,1928,XXBTZEUR
2024-11-02 08:00:00,1730534400,64466.4,64484.3,64131.8,64287.4,64295.3,18.29860406,2261,XXBTZEUR
2024-11-02 12:00:00,1730548800,64287.1,64350.0,63802.0,64135.5,64089.1,20.5017586,2320,XXBTZEUR
2024-11-02 16:00:00,1730563200,64135.4,64289.0,64000.0,64242.7,64126.5,21.32133342,2414,XXBTZEUR
2024-11-02 20:00:00,1730577600,64242.6,64285.0,63912.4,64040.0,64150.5,16.25311313,1578,XXBTZEUR
2024-11-03 00:00:00,1730592000,64040.0,64089.6,62763.8,63192.1,63274.0,87.2447196,2652,XXBTZEUR
2024-11-03 04:00:00,1730606400,63192.1,63663.4,63135.6,63210.6,63409.6,52.76862744,1792,XXBTZEUR
2024-11-03 08:00:00,1730620800,63210.6,63380.0,63075.0,63176.4,63258.8,26.90614171,2184,XXBTZEUR
2024-11-03 12:00:00,1730635200,63176.4,63354.0,62301.0,62894.1,62605.5,153.39286915,4025,XXBTZEUR
2024-11-03 16:00:00,1730649600,62890.1,63408.1,62593.1,63396.7,63087.3,53.03554284,2702,XXBTZEUR
2024-11-03 20:00:00,1730664000,63396.6,63890.4,63157.3,63309.9,63615.6,281.57672817,4332,XXBTZEUR
2024-11-04 00:00:00,1730678400,63309.9,63748.7,62825.5,63318.2,63186.6,16.94377841,1537,XXBTZEUR
2024-11-04 04:00:00,1730692800,63318.2,63657.6,63000.0,63000.1,63285.3,18.96581915,2551,XXBTZEUR
2024-11-04 08:00:00,1730707200,63000.1,63245.0,62840.0,62990.1,63023.8,60.94534204,5703,XXBTZEUR
2024-11-04 12:00:00,1730721600,62990.1,63485.7,62593.1,63005.2,62978.2,97.02671336,5320,XXBTZEUR
2024-11-04 16:00:00,1730736000,63005.1,63114.1,61750.0,62380.1,62334.3,133.64627087,5073,XXBTZEUR
2024-11-04 20:00:00,1730750400,62380.0,62562.8,61431.3,62364.0,62034.4,87.947109,3707,XXBTZEUR
2024-11-05 00:00:00,1730764800,62363.3,62675.1,62062.1,62675.1,62436.6,21.51300008,1222,XXBTZEUR
2024-11-05 04:00:00,1730779200,62675.1,63322.3,62675.0,63282.1,63093.0,48.19357439,3918,XXBTZEUR
2024-11-05 08:00:00,1730793600,63282.2,63400.0,62982.1,63124.6,63179.4,76.47345019,5356,XXBTZEUR
2024-11-05 12:00:00,1730808000,63124.6,64470.6,63030.0,63873.1,63577.5,213.33822348,5929,XXBTZEUR
2024-11-05 16:00:00,1730822400,63873.0,64587.3,62840.9,63201.3,64068.0,165.96407898,5936,XXBTZEUR
2024-11-05 20:00:00,1730836800,63157.3,64000.0,63043.5,63482.7,63537.4,98.02832134,3476,XXBTZEUR
2024-11-06 00:00:00,1730851200,63483.2,69706.0,63401.4,69163.0,67301.9,472.2292598,9282,XXBTZEUR
2024-11-06 04:00:00,1730865600,69161.9,70217.5,68152.3,68342.7,69298.1,693.53128624,13574,XXBTZEUR
2024-11-06 08:00:00,1730880000,68342.8,69464.4,67573.8,69348.0,68397.6,363.93169866,11300,XXBTZEUR
2024-11-06 12:00:00,1730894400,69342.0,69828.1,68594.6,69240.8,69238.6,291.28654832,8529,XXBTZEUR
2024-11-06 16:00:00,1730908800,69240.1,70664.3,69136.4,70648.5,69799.4,342.6938574,9689,XXBTZEUR
2024-11-06 20:00:00,1730923200,70648.5,71106.7,70381.0,70390.0,70648.6,238.18474866,7773,XXBTZEUR
2024-11-07 00:00:00,1730937600,70390.0,70800.0,69825.0,69825.9,70329.6,69.61922564,2979,XXBTZEUR
2024-11-07 04:00:00,1730952000,69825.9,69825.9,69233.9,69564.1,69556.4,88.59112247,4510,XXBTZEUR
2024-11-07 08:00:00,1730966400,69564.1,69800.0,69420.6,69437.5,69630.7,146.05145637,5618,XXBTZEUR
2024-11-07 12:00:00,1730980800,69437.5,70396.4,69000.0,70394.2,69543.8,182.87152649,6256,XXBTZEUR
2024-11-07 16:00:00,1730995200,70400.0,71043.4,70104.0,70999.4,70621.1,231.70882698,7169,XXBTZEUR
2024-11-07 20:00:00,1731009600,70999.4,71141.8,69903.2,70301.1,70525.6,171.88912963,4784,XXBTZEUR
2024-11-08 00:00:00,1731024000,70316.2,70800.0,70148.0,70446.7,70496.8,27.30527565,1770,XXBTZEUR
2024-11-08 04:00:00,1731038400,70446.6,70800.0,70229.3,70730.5,70483.6,65.50589983,3406,XXBTZEUR
2024-11-08 08:00:00,1731052800,70730.5,70873.5,70342.2,70550.1,70539.8,116.11774131,5078,XXBTZEUR
2024-11-08 12:00:00,1731067200,70550.1,71300.0,70424.0,71185.1,70853.1,166.97638034,5755,XXBTZEUR
2024-11-08 16:00:00,1731081600,71185.1,72100.0,70840.0,71925.2,71650.8,258.12400605,5944,XXBTZEUR
2024-11-08 20:00:00,1731096000,71923.0,72072.0,71285.4,71456.5,71541.2,80.67052275,3063,XXBTZEUR
2024-11-09 00:00:00,1731110400,71448.8,71579.9,71160.2,71302.3,71398.0,17.16236421,1337,XXBTZEUR
2024-11-09 04:00:00,1731124800,71302.3,71688.1,71285.0,71484.7,71431.5,17.97351309,1764,XXBTZEUR
2024-11-09 08:00:00,1731139200,71484.7,71600.0,71388.1,71445.5,71468.9,58.6651574,2921,XXBTZEUR
2024-11-09 12:00:00,1731153600,71445.6,71474.0,71251.2,71272.4,71318.2,35.60300884,2651,XXBTZEUR
2024-11-09 16:00:00,1731168000,71272.5,71550.0,70685.1,71130.8,71045.1,164.75240421,3504,XXBTZEUR
2024-11-09 20:00:00,1731182400,71132.9,71782.0,71109.6,71565.6,71446.7,48.08368261,2274,XXBTZEUR
2024-11-10 00:00:00,1731196800,71562.0,72258.8,71430.8,72010.6,71960.4,104.93291473,2120,XXBTZEUR
2024-11-10 04:00:00,1731211200,72010.6,74187.3,72010.5,73391.5,73375.0,416.4687342,7280,XXBTZEUR
2024-11-10 08:00:00,1731225600,73391.5,74567.9,73391.4,74480.0,74108.3,221.41800126,5948,XXBTZEUR
2024-11-10 12:00:00,1731240000,74480.1,74624.4,73777.0,74197.8,74190.2,216.81355407,5589,XXBTZEUR
2024-11-10 16:00:00,1731254400,74197.7,75373.5,73937.5,74214.5,74804.6,439.31851687,8294,XXBTZEUR
2024-11-10 20:00:00,1731268800,74214.4,75700.0,72552.6,74864.8,74020.2,478.08465374,10160,XXBTZEUR
2024-11-11 00:00:00,1731283200,74851.0,76272.5,74673.3,76130.8,75525.7,118.49030324,3488,XXBTZEUR
2024-11-11 04:00:00,1731297600,76121.7,76219.0,75022.5,75767.3,75599.9,96.29533468,4493,XXBTZEUR
2024-11-11 08:00:00,1731312000,75767.2,77000.0,75719.2,76989.3,76366.5,364.32896329,10749,XXBTZEUR
2024-11-11 12:00:00,1731326400,76989.3,78932.9,76362.7,78777.0,77540.2,699.39410369,17584,XXBTZEUR
2024-11-11 16:00:00,1731340800,78776.9,80589.0,78324.1,80497.9,79361.0,1021.46174122,25661,XXBTZEUR
2024-11-11 20:00:00,1731355200,80497.8,82188.0,78500.0,82187.9,80866.4,1067.54335744,26242,XXBTZEUR
2024-11-12 00:00:00,1731369600,82188.0,82850.0,80572.0,81846.6,81716.0,223.52432221,7691,XXBTZEUR
2024-11-12 04:00:00,1731384000,81846.7,83844.0,81572.1,83295.7,83077.3,355.21482891,13383,XXBTZEUR
2024-11-12 08:00:00,1731398400,83295.7,83430.7,78235.7,81760.0,81293.0,837.94907089,25262,XXBTZEUR
2024-11-12 12:00:00,1731412800,81736.0,82366.3,79859.3,81494.6,81113.0,443.47565142,14980,XXBTZEUR
2024-11-12 16:00:00,1731427200,81525.4,84300.0,80721.7,83349.9,82975.7,421.14114481,14159,XXBTZEUR
2024-11-12 20:00:00,1731441600,83349.9,84182.1,81976.4,82488.0,83076.0,198.60494807,8795,XXBTZEUR
2024-11-13 00:00:00,1731456000,82456.0,83026.9,81634.5,81844.5,82507.8,39.21130912,2717,XXBTZEUR
2024-11-13 04:00:00,1731470400,81844.4,82388.2,80751.0,82376.2,81542.5,198.8020769,8758,XXBTZEUR
2024-11-13 08:00:00,1731484800,82353.6,82900.1,82033.8,82517.3,82364.1,227.2759899,9346,XXBTZEUR
2024-11-13 12:00:00,1731499200,82517.2,87300.0,82393.1,87296.1,85331.4,861.46922849,20797,XXBTZEUR
2024-11-13 16:00:00,1731513600,87294.7,87900.0,84800.0,85117.8,86788.9,650.16726415,16882,XXBTZEUR
2024-11-13 20:00:00,1731528000,85117.7,85991.3,83074.0,85446.0,84496.6,449.30839911,10074,XXBTZEUR
2024-11-14 00:00:00,1731542400,85446.0,85600.0,84678.8,85132.9,85118.7,48.44699039,2291,XXBTZEUR
2024-11-14 04:00:00,1731556800,85129.1,86000.0,84521.0,85990.1,85177.0,98.90527672,5811,XXBTZEUR
2024-11-14 08:00:00,1731571200,85990.1,87000.0,85685.8,86905.1,86361.1,219.0565038,9015,XXBTZEUR
2024-11-14 12:00:00,1731585600,86903.9,86980.6,83107.7,83190.5,84986.4,325.68857173,10434,XXBTZEUR
2024-11-14 16:00:00,1731600000,83190.5,84988.9,82952.2,84838.5,84322.3,487.2193591,9409,XXBTZEUR
2024-11-14 20:00:00,1731614400,84837.3,84837.3,82300.3,82884.8,83331.1,225.09733555,6919,XXBTZEUR
2024-11-15 00:00:00,1731628800,82907.0,83975.1,82858.8,83737.1,83674.0,30.35813218,2056,XXBTZEUR
2024-11-15 04:00:00,1731643200,83737.1,83741.7,82677.0,83014.0,83266.1,102.20565134,5496,XXBTZEUR
2024-11-15 08:00:00,1731657600,83014.0,84800.0,82811.0,84799.9,84032.3,215.24183937,6844,XXBTZEUR
2024-11-15 12:00:00,1731672000,84800.0,85729.0,83384.0,83950.9,84700.1,236.45162239,8023,XXBTZEUR
